Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
55,0.7892652436766324,0.7651205829944018,0.8112415841035182,0.7046368400206287,0.6779162821292075,0.7296002224152723
56,0.7867382471653949,0.7624972143491618,0.8088229841176366,0.6994746653684624,0.672628497300138,0.7245883071797151
57,0.7842112506541569,0.7598751953327643,0.8064030538370865,0.6943124907162971,0.6673448989284053,0.7195723089469348
58,0.7833689184837439,0.7590014858452502,0.8055961177721904,0.6925917658322418,0.6655846184221922,0.7178994129420339
59,0.7825265863133313,0.7581279237106396,0.8047890364322591,0.6900074681985396,0.662941553884789,0.7153863021503095
60,0.7799968667455077,0.7555050875230396,0.8023644873527358,0.6865617380202695,0.6594190574519448,0.7120339371732405
61,0.7757761044795688,0.7511315302391836,0.7983166187369038,0.6822491642889867,0.6550125816300554,0.7078360596487662
62,0.7749310324703315,0.7502562296149228,0.7975057948789634,0.6787991053039599,0.6514894144658453,0.7044757937740541
63,0.7698606004149096,0.7450074150265836,0.792637910425365,0.671898987333907,0.6444483786542128,0.6977500919063703
64,0.7690155284056726,0.7441331054326442,0.7918261113205368,0.67016951761104,0.6426843924148237,0.696063528192825
65,0.7673253843871989,0.7423849036383879,0.7902021022552236,0.6693047827496064,0.6418025635984121,0.6952200861604645
66,0.7673253843871989,0.7423849036383879,0.7902021022552236,0.6675730756791024,0.6400368056140778,0.6935308304641277
67,0.7630953657301587,0.7380116544088644,0.7861355136588365,0.6667072221438506,0.6391540907567176,0.6926860426883603
68,0.759711350804526,0.7345155105019743,0.7828798269317155,0.6658402426612186,0.6382702633683042,0.6918401156231642
69,0.7571733396103014,0.7318948133992681,0.7804366735023147,0.6632393042133231,0.6356194371452646,0.6893016956281217
70,0.7512513134904443,0.7257844761986908,0.7747314318403788,0.6615030756682622,0.6338503033890796,0.6876068017723184
71,0.750404355978054,0.7249110403130179,0.7739150227501069,0.659766847123201,0.6320816053550478,0.6859114837523315
72,0.7495573984656632,0.7240377340297007,0.7730984861506801,,,
73,0.7461695684161013,0.7205457959104191,0.7698310733914419,0.6562852278771684,0.6285355853278008,0.6825111626167514
74,0.7453226109037102,0.7196731309177026,0.7690139057595254,,,
75,0.7427817383665386,0.7170558958808994,0.7665616549395281,0.6528036086311354,0.6249913061850003,0.6791091484524161
76,0.7410858896488065,0.715309574008084,0.764924451635709,0.650192394196611,0.6223342308259537,0.6765565346675854
77,0.7368462678544772,0.7109459576697672,0.7608292908628325,0.6467107749505783,0.6187929647658061,0.6731515889249619
78,0.7359973666242294,0.7100725326526297,0.760009007715752,0.64584037013907,0.6179079149214401,0.672300092939872
79,0.7351484653939826,0.7091992312861124,0.7591886030128598,0.6449699653275617,0.6170229713393959,0.6714484935143288
80,0.7334506629334882,0.7074529979242457,0.7575474304681832,0.6440983842933352,0.6161368621284888,0.6705957080996099
81,0.7300511233602158,0.7039576802101435,0.7542600726084911,0.6423552222248824,0.6143649629416255,0.6688898266875027
82,0.72835135357358,0.7022107522393899,0.7526156755247329,0.639740479122203,0.6117079092925607,0.666330230869935
83,0.7275014686802618,0.7013374696577381,0.7517932987171236,0.6371257360195237,0.6090518051646486,0.6637697109392894
84,0.7249518140003078,0.6987183431083158,0.7493254595014162,0.6327678308483916,0.6046270612360788,0.6595001369863418
85,0.7232520442136718,0.6969728561198195,0.7476796461943309,0.6301494812035016,0.6019695751952205,0.6569338476597852
86,,,,0.6284039147735753,0.6001984386751469,0.655222481192611
87,,,,0.6266559205739266,0.5984250999602754,0.6535084696968522
88,0.7224001572357992,0.6960980969551118,0.7468547450225662,0.6257819234741027,0.5975385867403374,0.6526513120542031
89,0.7198444963021821,0.6934745351366499,0.7443793390671511,0.6214119379749816,0.5931075752409374,0.6483640111977246
90,0.7147331744349473,0.6882306008028748,0.7394253962570202,0.6179159495756853,0.5895646216770901,0.6449323645436367
